,host_id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
706,54282394,Seascape OG (5Bed/3Bath/NBN),Andrew,t,"Ocean Grove, Victoria, Australia",Greater Geelong,6.0,$457.00,97.0
707,54284754,Lakeside 4 Star Apartment,Lyn,f,"Hamilton, Victoria, Australia",Southern Grampians,0.0,$175.00,80.0
708,54286812,Great Ocean Rd -Heart of the Otways,Vivien,t,"Yuulong, Victoria, Australia",Colac Otway,2.0,$93.00,96.0
709,48720625,Great Ocean Road Beach Haven,Deb,t,"Fairhaven, Victoria, Australia",Surf Coast,2.0,$214.00,93.0
710,42797340,80's Renovated Gem 400m to Beach,Brigitte,t,"Torquay, Victoria, Australia",Surf Coast,5.0,$300.00,99.0
711,27626556,Annabelle's Beach House - Torquay,Will,f,"Torquay, Victoria, Australia",Surf Coast,5.0,$257.00,87.0
712,5456857,Hampton on Apollo | Apollo Bay for families + WIFI,Leanne,t,"Apollo Bay, Victoria, Australia",Colac Otway,8.0,$456.00,99.0
713,39987768,'Rose Maythen' -tranquility by the sea,Rowan,f,"Point Lonsdale, Victoria, Australia",Queenscliffe,3.0,$150.00,97.0
714,7340813,Ocean Grove- Iconic- Spacious home,Karen,f,"Ocean Grove, Victoria, Australia",Greater Geelong,3.0,$180.00,98.0
715,51748440,Charles Central Oasis 8,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,2.0,$377.00,80.0
716,51748440,Grandview Luxury 11,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,7.0,$651.00,98.0
717,51748440,Anderson Townhouse 2-39,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,4.0,$369.00,86.0
718,51748440,Anderson Townhouse 1-39,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,4.0,$482.00,91.0
719,54683810,Park Hill Farmstay Cottage,Carol,f,"Wannon, Victoria, Australia",Southern Grampians,5.0,$156.00,93.0
720,54689655,Geelong West Short Stays,Wally,f,,Greater Geelong,5.0,$85.00,98.0
721,51748440,Deluxe 2 Bedroom Apartment Couples,Reservations Team,f,,Surf Coast,2.0,$291.00,91.0
722,51748440,Family Two Bedroom Apartment,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,3.0,$493.00,85.0
723,54785882,Bluetide Family Holiday Home,Belinda & Jon,f,"Ocean Grove, Victoria, Australia",Greater Geelong,8.0,$493.00,97.0
724,55036841,"Family friendly majestic waterfront views, fishing",Cally,f,"St. Leonards, Victoria, Australia",Greater Geelong,5.0,$216.00,95.0
725,55051139,Central - Private Accommodation - Henna St,Jennifer,t,"Warrnambool, Victoria, Australia",Warrnambool,2.0,$176.00,100.0
726,45493018,Kiki Apartments Unit 3,Ingrid,t,,Warrnambool,5.0,$186.00,94.0
727,55056985,"Sea views, Walk to beach.",David,f,"Portland North, Victoria, Australia",Glenelg,2.0,$80.00,97.0
728,13048705,Babenorek Studio - Eco Accomodation,Veronica,t,"Deans Marsh, Victoria, Australia",Surf Coast,3.0,$150.00,99.0
729,55176935,Anglesea Outlook,Anne,f,,Surf Coast,6.0,$375.00,100.0
730,55224649,Brian's Place,Danny,t,"Portarlington, Victoria, Australia",Greater Geelong,5.0,$130.00,99.0
731,55330256,Rock Break the total beach feel,Catherine,t,,Surf Coast,0.0,$317.00,96.0
732,51748440,Puebla Casa 1-35a,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,6.0,$339.00,93.0
733,24176467,Beach House 150 metres to water,Alana,f,"Ocean Grove, Victoria, Australia",Greater Geelong,7.0,$300.00,94.0
734,44306877,Family and pet friendly 3 BR home,Simon,t,"Ocean Grove, Victoria, Australia",Greater Geelong,5.0,$240.00,98.0
735,51748440,Deluxe King Studio,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,1.0,$229.00,80.0
736,51748440,Fischer Retreat 135a,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,13.0,$820.00,94.0
737,2282578,Heart of Point Lonsdale,Dominic,f,,Queenscliffe,6.0,$425.00,96.0
738,23633941,Shutters by the Sea.  Luxury. Netflix. 2 Night Min,David,t,"Anglesea, Victoria, Australia",Surf Coast,8.0,$740.00,96.0
739,55860855,Paradise on Sunset,Jacinta,t,"Jan Juc, Victoria, Australia",Surf Coast,8.0,$350.00,97.0
740,4997815,Vickis 13th Beach Retreat,Vicki,t,"Barwon Heads, Victoria, Australia",Greater Geelong,1.0,$130.00,99.0
741,1453196,Cloud farm - incredible views!,Patricia,t,"Apollo Bay, Victoria, Australia",Colac Otway,3.0,$364.00,98.0
742,23791504,Modern Beach House in Lorne,Damien,f,,Surf Coast,4.0,$507.00,94.0
743,56145397,Gogoll escape - with private entrance,Peter,t,"Torquay, Victoria, Australia",Surf Coast,0.0,$124.00,99.0
744,25570662,Escape Torquay crowds in Peaceful Beach house,Belinda,f,"Breamlea, Victoria, Australia",Greater Geelong,8.0,$320.00,97.0
745,56423700,Luxurious 1880's Victorian Cottage,Jan,f,"Koroit, Victoria, Australia",Moyne,4.0,$197.00,100.0
746,56544494,The Pole House Queenscliff,William,f,,Queenscliffe,6.0,$275.00,94.0
747,56547353,Belvedere,Adam,f,,Surf Coast,1.0,$189.00,97.0
748,2551773,2 Bedroom House Near Beach,Carmela,f,"Ocean Grove, Victoria, Australia",Greater Geelong,4.0,$180.00,100.0
749,54144392,Modern Beach House,Tracey,f,,Surf Coast,4.0,$393.00,96.0
750,57043232,Stephanie's at Onion Bay - Seascape,Stephanie,f,,Colac Otway,1.0,$226.00,99.0
751,57059061,School House,Samantha,f,"Warrnambool, Victoria, Australia",Warrnambool,1.0,$203.00,93.0
752,57059061,The Carriage House,Samantha,f,"Warrnambool, Victoria, Australia",Moyne,3.0,$303.00,96.0
753,52894854,Cosy Coastal Cottage Retreat,Julie,t,,Corangamite,3.0,$191.00,93.0
754,28780483,Family Friendly Anglesea Beach House,Natasha,f,"Anglesea, Victoria, Australia",Surf Coast,6.0,$500.00,96.0
755,57201560,Fairholme Townhouse,Peter,f,,Warrnambool,5.0,$296.00,93.0
756,57201560,Fairholme Apartment,Peter,f,,Warrnambool,3.0,$252.00,94.0
757,57201560,Seaton on Spence,Peter,f,,Warrnambool,6.0,$343.00,93.0
758,55056985,Closed Sold House,David,f,,Glenelg,1.0,"$1,000.00",100.0
759,57440803,APOLLO2 BEACH HOUSE,Nicholas,t,"Apollo Bay, Victoria, Australia",Colac Otway,5.0,$321.00,98.0
760,57677561,Hidden Valley Cabins: A City Escape,Christine,f,"Pennyroyal, Victoria, Australia",Surf Coast,6.0,$103.00,93.0
761,57684893,Point Lonsdale beach house,Georgie,f,"Point Lonsdale, Victoria, Australia",Queenscliffe,7.0,$544.00,98.0
762,57688641,Mepunga Country Stay,Wendy,f,"Mepunga West, Victoria, Australia",Moyne,3.0,$104.00,96.0
763,26390754,Spacious Sunny Luxury Town House,Louise,f,"Barwon Heads, Victoria, Australia",Greater Geelong,5.0,$650.00,100.0
764,57820939,L'Vista Lorne - Luxury House in Peaceful Location,Nicole,t,"Lorne, Victoria, Australia",Surf Coast,6.0,$521.00,99.0
765,57917877,"The Cottage on Beach Road, Torquay",Nicole,f,"Torquay, Victoria, Australia",Surf Coast,2.0,$194.00,96.0
766,490550,"Quiet comfortable room, private bathroom&lounge🌺🐳🧜‍♀️",Lizzy,f,"Jan Juc, Victoria, Australia",Surf Coast,2.0,$136.00,95.0
767,58123619,Modern Eco Townhouse with views.,Paul,t,"Ocean Grove, Victoria, Australia",Greater Geelong,5.0,$303.00,99.0
768,4921537,Nivani Port Fairy Colonial Cottage,John,t,"Port Fairy, Victoria, Australia",Moyne,2.0,$212.00,99.0
769,44652286,Ocean Grove Beach House After Dune Delight,Kerrie,t,"Ocean Grove, Victoria, Australia",Greater Geelong,5.0,$386.00,95.0
770,57990698,Spectacular Ocean Views & free WIFI,Julie,t,"Port Fairy, Victoria, Australia",Moyne,7.0,$281.00,99.0
771,58403280,Aloha Beachfront Port Fairy,Nicola,f,,Moyne,3.0,$446.00,100.0
772,58501201,"""The Nelson cottage"" and boat house",Shannon And Haley,t,"Nelson, Vic, Australia",Glenelg,3.0,$195.00,96.0
773,58955741,Apollo Bay Beach House - 300 metres from beach,Derek,f,"Apollo Bay, Victoria, Australia",Colac Otway,6.0,$221.00,94.0
774,26448462,Anglesea Heathedge Family Beach House,Meghan,f,"Anglesea, Victoria, Australia",Surf Coast,6.0,$246.00,94.0
775,129562,Coastal Break,Sharee,t,,Colac Otway,7.0,$469.00,95.0
776,10937394,Pet friendly haven on golf course with kangaroos,Robyn & Bruce,t,"Anglesea, Victoria, Australia",Surf Coast,4.0,$286.00,99.0
777,14215150,3 BR Fully Self Contained Pets OK,Christine,t,,Greater Geelong,6.0,$250.00,100.0
778,59381421,Clean comfortable quiet room,Vandna,f,,Greater Geelong,0.0,$50.00,80.0
779,58650993,"Aireys Inlet: Bush, Beach &  Ocean",Megan,f,"Aireys Inlet, Victoria, Australia",Surf Coast,1.0,$100.00,95.0
780,59673774,Art Deco House,Kate,f,"Warrnambool, Victoria, Australia",Warrnambool,6.0,$226.00,95.0
781,57059061,Beautiful mews room,Samantha,f,"Woolsthorpe, Victoria, Australia",Moyne,0.0,$161.00,100.0
782,29902659,Ocean House,BGHoliday,f,"Barwon Heads, Victoria, Australia",Greater Geelong,6.0,$414.00,95.0
783,3794683,Magnificent Sea Views & Location,Alison,t,"Warrnambool, Victoria, Australia",Warrnambool,4.0,$350.00,99.0
784,60177731,"Fishos beach shack, central Torquay",Nat & Mark,t,"Torquay, Victoria, Australia",Surf Coast,8.0,$143.00,95.0
785,6864411,Jan Juc Studio,Phoebe,f,,Surf Coast,1.0,$160.00,97.0
786,60436155,2 bedroom apartment;bayside,Ian And Lyn,t,,Colac Otway,2.0,$200.00,99.0
787,60452879,Apollo's View Accommodation,Bill,t,"Skenes Creek, Victoria, Australia",Colac Otway,2.0,$279.00,98.0
788,362306,Bamboo Aurora Room. Torquay,Kathryn,t,"Torquay, Victoria, Australia",Surf Coast,1.0,$101.00,97.0
789,60997785,Elandra,Martin,f,,Surf Coast,5.0,$711.00,95.0
790,29911187,Central by Sea- 3 Bedroom Cosy Home,Sharron,t,"Warrnambool, Victoria, Australia",Warrnambool,4.0,$230.00,100.0
791,61308944,Honeysuckle Cottage Lorne,Rachel,t,"Lorne, Victoria, Australia",Surf Coast,2.0,$153.00,98.0
